Country,Internet_use,energy_eff,reduce_energy,confident_energy,coal_energy,natural_gas,hydroelectric,nuclear,solar,wind,biomass,worried_expensive,worried_fossil,worried_disaster,worried_insufpower,worried_techfail,climate_change,climatechng_thoughts,clmthgt2,ccnthum,personal_resp,worried_cc,cc_good_bad,reduce_cc,largeno_limitenergy,govt_reducecc,reduce_ownuse,favour_taxff,favour_subsidiseRE,ban_appliance,gender,age,marriage,highest_education,household_income,father_education,mother_education,care_environment
AT,4,8,4,10,5,5,1,5,1,1,1,3,4,2,2,2,1,6,4,4,8,4,10,10,0,0,0,1,1,2,2,34,6,720,77,610,610,1
AT,5,10,5,3,5,2,2,5,2,5,5,2,3,1,1,2,1,6,4,4,7,4,2,8,3,4,6,1,2,2,1,52,66,313,5,212,113,2
AT,2,9,4,3,5,4,2,5,1,1,4,4,3,3,2,3,1,6,4,4,8,4,2,6,1,3,1,4,2,2,2,68,6,322,2,322,113,2
AT,5,10,4,7,3,3,3,4,2,3,4,2,2,3,3,3,2,6,3,3,6,3,7,5,6,5,6,3,3,3,1,54,4,322,4,322,322,3
AT,5,10,6,10,5,2,3,3,1,1,3,1,3,1,1,4,1,6,2,4,6,4,5,10,10,2,7,3,1,4,2,20,1,322,2,313,0,1
AT,5,8,4,7,2,2,2,5,1,1,3,3,8,3,8,3,2,6,3,3,5,3,5,5,5,5,3,4,1,1,2,65,4,313,10,5555,322,2
AT,2,6,3,5,4,3,2,3,1,1,4,1,1,2,1,3,2,6,1,4,0,2,5,5,2,1,0,5,2,3,2,52,66,212,2,212,113,4
AT,4,10,3,7,5,3,2,5,1,1,2,3,3,3,2,2,1,6,3,4,8,4,3,5,4,3,6,4,1,1,2,44,66,423,8,322,322,1
AT,5,8,2,7,3,2,5,4,3,3,2,2,2,1,1,1,2,6,2,2,7,2,4,7,7,7,8,2,1,1,2,22,6,322,3,322,322,4
AT,4,7,3,8,2,3,3,2,1,1,2,3,2,2,3,2,2,6,3,2,7,3,5,7,7,6,7,2,3,2,2,41,4,322,4,212,212,2
AT,1,88,5,10,5,5,1,5,1,1,2,1,1,1,1,1,2,6,1,4,0,2,2,88,0,2,2,5,2,5,2,57,4,212,1,212,212,3
AT,4,8,3,5,4,4,2,5,1,1,3,3,1,2,2,2,1,6,4,5,7,4,1,8,0,2,6,2,2,2,1,61,66,322,3,322,212,3
AT,4,7,3,8,2,1,4,3,3,2,4,3,3,4,3,2,3,6,2,3,8,2,6,5,5,6,7,2,1,3,1,50,4,322,5,322,322,2
AT,4,8,4,8,5,4,1,1,1,2,2,3,3,3,2,2,2,6,3,5,8,4,1,7,1,3,6,3,3,4,2,31,6,322,88,212,212,1
AT,1,7,4,1,3,3,1,55,1,3,3,4,2,4,3,3,2,6,2,5,4,3,3,5,4,5,1,3,2,1,2,58,4,113,3,212,113,3
AT,5,5,3,6,5,5,1,5,1,1,2,1,1,1,1,1,2,6,1,4,8,1,8,6,7,6,8,4,2,4,1,28,1,322,5,322,322,1
AT,5,10,4,10,4,1,1,5,1,1,2,1,1,1,1,1,2,6,3,3,6,2,5,6,4,1,4,4,2,3,1,58,66,520,7,423,322,3
AT,5,8,2,7,5,4,1,5,1,3,2,3,2,2,2,2,1,6,4,4,6,3,3,7,2,2,5,2,2,2,1,51,4,322,6,322,322,2
AT,4,10,5,7,4,4,1,5,1,2,3,2,2,2,1,1,1,6,5,3,8,3,2,6,5,3,6,3,1,3,2,65,66,322,5,212,212,1
